platform,verdict,app,bundle_id,source,occurrences,reasons
Vizio,maybe,Bestofminecraft,vizio.bestofminecraft,Playwork,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Roku,no,634822 Canada Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,634822 Mexico Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,634822 Brazil Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,634822 Japan Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,634822 Puerto Rico Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,634822 Chile Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,634822 Costa Rica Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Rogers,unlikely,,com.rogers.bestofminecraft,,1,"Cable STB; usually SSAI"
Roku,no,Bestofreacts 614371 United States Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,Bestofreacts 614371 Canada Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,Bestofroblox 614371 Korea  Republic of Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Comcast,unlikely,Bestofroblox,com.comcast.bestofroblox,Playwork,1,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Cox,unlikely,Bestofroblox,com.cox.bestofroblox,Playwork,1,"Cable STB; usually SSAI"
LG,maybe,Bestofroblox 1270159 Algeria LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Argentina LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Australia LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Belgium LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Brazil LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Cambodia LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Canada LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Chile LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Colombia LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Czech Republic LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Denmark LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Ecuador LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Egypt LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 El Salvador LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Finland LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 France LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Germany LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Greece LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Guatemala LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Hong Kong LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 India LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Indonesia LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Ireland LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Israel LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Italy LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Jordan LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Kazakhstan LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Mexico LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Morocco LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 New Zealand LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,Bestofroblox 1270159 Norway LG CTV not clickable https://,us.lgappstv.com,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Peru LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Philippines LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Poland LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Portugal LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Romania LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Saudi Arabia LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Singapore LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Slovakia LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Spain LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Sweden LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Thailand LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 Turkey LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 United Arab Emirates LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270159 United States LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Roku,no,635922 United States Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Vizio,maybe,,vizio.bestofroblox,,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Samsung,maybe,Bestoftiktokreactions,com.samsung.bestofroblox,Playwork,1,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Billyperry,com.samsung.bestofroblox,Playwork,1,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,unlikely,Black Cinema %26 Tv By Fawesome,com.samsung.bestofroblox,WURL,1,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead | app-name pattern suggests FAST/24h channel → SSAI typical | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Comcast,unlikely,Bloo,com.comcast.bestofroblox,Playwork,1,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Roku,no,Bloo 635922 Canada Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,Bloo 635922 Mexico Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,Bloo 635922 Brazil Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Vizio,maybe,Bloo,vizio.bestofroblox,Playwork,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Rogers,unlikely,Bloo,com.rogers.bestofroblox,Playwork,1,"Cable STB; usually SSAI"
Samsung,maybe,Bloo G20357016070 Australia Samsung CTV not clickable https://,www.samsung.com,Playwork,1,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Bloo G20357016070 United States Samsung CTV not clickable https://,www.samsung.com,Playwork,1,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Bloo,b01nbi48ik,Playwork,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Comcast,unlikely,Bloo,com.comcast.billy_perry,Playwork,1,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Roku,no,Bloo 746146 United States Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,746146 Brazil Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Fire TV,yes,,B0C3VT5Q6X,,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B08P4C6L5W,,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B08PFF99F2,,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B08V5J5QQH,,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B0CJJLXX8M,,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Comcast,unlikely,,com.comcast.bloo,,1,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Cox,unlikely,,com.cox.bloo,,1,"Cable STB; usually SSAI"
LG,maybe,1270689 Australia LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Brazil LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Canada LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Chile LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Colombia LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Denmark LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Iraq LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Ireland LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Kazakhstan LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Kenya LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Mexico LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 New Zealand LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Peru LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Poland LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 Portugal LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,maybe,1270689 United States LG CTV https://,us.lgappstv.com,,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Roku,no,649461 United States Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Vizio,maybe,,vizio.bloo,,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Vizio,maybe,,vizio.ssundee,,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Roku,no,649461 Canada Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,649461 Mexico Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,649461 Brazil Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,649461 Puerto Rico Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,649461 Colombia Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Vizio,maybe,Bloo,vizio.bloo,Playwork,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Vizio,maybe,Bloomberg,vizio.ssundee,,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Rogers,unlikely,Bollywood Movies %26 Music By Fawesome,com.rogers.bloo,WURL,1,"Cable STB; usually SSAI | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Fire TV,yes,Boss Baby,B00FT7LGPM,Playwork,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Bossbaby G14363001012 Germany Samsung CTV not clickable https://,www.samsung.com,Playwork,1,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Bossbaby G14363001012 Netherlands Samsung CTV not clickable https://,www.samsung.com,Playwork,1,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Bossbaby,B095KSRMM1,Playwork,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Videotron,unlikely,Brb,com.videotron.boss_baby,Playwork,1,"Cable STB; usually SSAI"
Roku,no,Brb 734369 United States Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,Brb 734369 Mexico Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,Brbtravelfood 734369 Brazil Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,Brbtravelfood 734369 Argentina Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,Brewstew 734369 Canada Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,Brewstew 734369 Colombia Roku CTV not clickable https://,channelstore.roku.com,Playwork,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Fire TV,yes,Brewstew,B0B2BX56BJ,Playwork,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Vizio,maybe,Brewstew,vizio.brandonwilliam,Playwork,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Comcast,unlikely,Brick O Brian,com.comcast.brb,Playwork,1,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Cox,unlikely,Brick O Brian,com.cox.brb,Playwork,1,"Cable STB; usually SSAI"
LG,maybe,Brick O Brian,com.lg.brb,Playwork,1,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Samsung,maybe,Brickobrian,com.samsung.brb,Playwork,1,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Bricksobrian,com.samsung.brb,Playwork,1,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Roku,no,British Movies & Tv By Fawesome 639669 United States Roku CTV not clickable https://,channelstore.roku.com,WURL,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID | app-name pattern suggests FAST/24h channel → SSAI typical | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Vizio,unlikely,British Movies %26 Tv By Fawesome,vizio.brbtravelfood,WURL,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5 | app-name pattern suggests FAST/24h channel → SSAI typical | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Roku,no,Browsefree Podcast  Movies  Tv 639669 Canada Roku CTV not clickable https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID | app-name pattern suggests FAST/24h channel → SSAI typical"
Comcast,unlikely,Browsefree Podcast  Movies  Tv,com.comcast.brewstew,,1,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI | app-name pattern suggests FAST/24h channel → SSAI typical"
Roku,no,Browsefree Podcast  Movies  Tv 607501 United States Roku CTV not clickable https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID | app-name pattern suggests FAST/24h channel → SSAI typical"
Roku,no,Browsefree Podcast  Movies  Tv 607501 Brazil Roku CTV not clickable https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID | app-name pattern suggests FAST/24h channel → SSAI typical"
Roku,no,Browsefree Podcast  Movies  Tv 607501 Canada Roku CTV not clickable https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID | app-name pattern suggests FAST/24h channel → SSAI typical"
Roku,no,Browsefree Podcast  Movies  Tv 607501 Mexico Roku CTV not clickable https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID | app-name pattern suggests FAST/24h channel → SSAI typical"
Roku,no,Browsefree Podcast  Movies  Tv 607501 Puerto Rico Roku CTV not clickable https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID | app-name pattern suggests FAST/24h channel → SSAI typical"
Comcast,unlikely,,com.comcast.brick_o_brian,,1,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Cox,unlikely,,com.cox.brick_o_brian,,1,"Cable STB; usually SSAI"
Roku,no,643615 United States Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,643615 Mexico Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,643615 Canada Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,643615 Brazil Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,643615 Colombia Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,643615 Chile Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Vizio,maybe,,vizio.bricksobrian,,1,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Fire TV,yes,,B08WH4GB19,,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B08WJ2KD5V,,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B07W4GZFVN,,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B0C2J7LP38,,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Roku,no,806510 Argentina Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Australia Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Brazil Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Canada Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Chile Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Colombia Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Ecuador Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Germany Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Guatemala Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Indonesia Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Mexico Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Morocco Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Peru Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Puerto Rico Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Saint Lucia Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 Turkey Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 United Kingdom Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
Roku,no,806510 United States Roku CTV https://,channelstore.roku.com,,1,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
TCL,maybe,,com.tcl.browser,,1,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
TCL,maybe,Bryton,B0CW17HGLZ,Playwork,1,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
TCL,maybe,Bryton Tunisia TCL CTV not clickable https://,play.google.com,Playwork,1,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
TCL,maybe,Bryton United Kingdom TCL CTV not clickable https://,play.google.com,Playwork,1,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
TCL,maybe,Bryton,com.comcast.bumpy,Playwork,1,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
TCL,maybe,Bumpy Virgin Islands  U.S. TCL CTV not clickable https://,play.google.com,Playwork,1,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
TCL,maybe,Bumpy Zambia TCL CTV not clickable https://,play.google.com,Playwork,1,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
Fire TV,unlikely,Bumpy Canada Fire TV CTV not clickable https://,www.amazon.com,Playwork,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0 | app-name pattern suggests FAST/24h channel → SSAI typical"
Fire TV,unlikely,Bumpy Ireland Fire TV CTV not clickable https://,www.amazon.com,Playwork,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0 | app-name pattern suggests FAST/24h channel → SSAI typical"
Fire TV,unlikely,Bumpy Australia Fire TV CTV not clickable https://,www.amazon.com,Playwork,1,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0 | app-name pattern suggests FAST/24h channel → SSAI typical"
